date,open,high,low,close,change,change_percentage,volume,short_selling,margin_trading,investment_trust,dealer,foreign_invenstor,ma,bband_up,bband_down
2011/1/19,76.9,78.3,76.6,78,1.2,1.56,87297.73,9368,36406,2297,-1485,11002,72.74,77.52388963,67.95611037
2011/1/20,77,77,76.1,76.4,-1.6,-2.05,43718.267,8557,38427,-496,880,-11610,73.01,77.97664877,68.04335123
2011/1/21,74,75.2,74,74.6,-1.8,-2.36,81475.611,7262,40260,1739,1264,-30430,73.2,78.10428384,68.29571616
2011/1/24,75.2,75.4,74.6,75.3,0.7,0.94,46169.039,7458,39496,0,-484,-940,73.43,78.2748323,68.5851677
2011/1/25,75.9,75.9,74.9,75,-0.3,-0.4,50794.623,7384,39584,874,-527,-6517,73.635,78.38021865,68.88978135
2011/1/26,74.6,75.2,74.3,74.6,-0.4,-0.53,66830.494,7118,39929,-7,1036,-17454,73.835,78.38484615,69.28515385
2011/1/27,74.9,75.4,74.8,75.2,0.6,0.8,69892.004,7152,43182,696,549,-17083,74.065,78.39733194,69.73266806
2011/1/28,75.2,76.9,74.9,76.3,1.1,1.46,110404.458,7160,41540,1722,-1789,-15336,74.33,78.52623641,70.13376359
2011/2/8,77,77,74.8,75.5,-0.8,-1.05,110969.823,6539,42717,859,1334,-21366,74.55,78.49993671,70.60006329
2011/2/9,75.5,75.6,73.8,73.8,-1.7,-2.25,81246.782,6202,45086,960,1577,-30530,74.68,78.34092884,71.01907116
2011/2/10,73.1,73.4,72,72,-1.8,-2.44,83632.934,5419,50798,-269,3546,-40633,74.79,77.9566386,71.6233614
2011/2/11,72.2,72.4,70.9,71.4,-0.6,-0.83,112430.037,4792,54627,-340,258,-49104,74.81,77.88434546,71.73565454
2011/2/14,72,72.9,71.5,72.5,1.1,1.54,66889.583,4866,53481,640,-135,-24279,74.81,77.88434546,71.73565454
2011/2/15,72.4,73.1,71.4,72.5,0,0,56495.041,4968,52804,637,-1288,-19729,74.725,77.95230538,71.49769462
2011/2/16,72.4,72.7,71.9,72.1,-0.4,-0.55,54423.863,4946,51374,382,1181,-18632,74.605,78.02931015,71.18068985
2011/2/17,72.4,72.9,71.6,72.5,0.4,0.55,49330.644,5097,51472,161,-1722,-5175,74.485,78.02577675,70.94422325
2011/2/18,73.1,73.9,73,73,0.5,0.69,74599.914,5057,48834,576,-2364,11273,74.405,78.00359695,70.80640305
2011/2/21,73.1,73.4,72.3,73.4,0.4,0.55,39070.28,5034,48996,-40,-181,2492,74.335,77.95454417,70.71545583
2011/2/22,72.2,72.5,71.2,72.5,-0.9,-1.23,82661.396,4723,49436,-1045,-1028,-20957,74.17,77.80818636,70.53181364
2011/2/23,71.5,71.9,70.5,71,-1.5,-2.07,80262.579,4427,48387,-1105,2376,-17802,73.88,77.55782544,70.20217456
2011/2/24,71,71.4,70.5,70.5,-0.5,-0.7,62768.424,4326,48574,-3359,4745,-32964,73.505,76.94794932,70.06205068
2011/2/25,70.6,71.1,69.9,70.5,0,0,78873.152,4075,51414,-3152,5966,-26908,73.21,76.62109953,69.79890047
2011/3/1,70,71.8,70,71.4,0.9,1.28,84618.121,3914,54184,-134,788,-23905,73.05,76.48540391,69.61459609
2011/3/2,70.8,71,70.4,70.4,-1,-1.4,53047.407,3851,55243,-2781,1242,-20884,72.805,76.26244125,69.34755875
